function,line,var,sdc
dot,57,sum,2.4323917637156454
dot,57,sum,2.458363585243711
solve_cg,90,p_ap_dot,2.458363585243711
solve_cg,91,alpha,7.987705062421688
daxpby,40,y,7.499914492816552
daxpby,40,y,7.283714676198745
daxpby,40,y,7.273863400185393
daxpby,40,y,7.1624423605430225
daxpby,40,y,7.6259894192464825
daxpby,40,y,6.710552748365193
daxpby,40,y,7.845308312342156
daxpby,40,y,6.946857671454856
daxpby,40,y,7.058421305423762
daxpby,40,y,6.470192201232528
daxpby,40,y,6.850126434110181
daxpby,40,y,7.297275991693605
daxpby,40,y,6.096138891914553
daxpby,40,y,7.58492042097409
daxpby,40,y,7.064903291628516
daxpby,40,y,7.691507620613617
solve_cg,82,oldrtrans,3.552761038918155
dot_r2,48,sum,6.0687156179142505
dot_r2,48,sum,6.173103150958287
dot_r2,48,sum,5.778528301589564
dot_r2,48,sum,5.812714608305249
dot_r2,48,sum,5.5537386910846624
dot_r2,48,sum,4.0193077608268055
dot_r2,48,sum,4.871871285473863
dot_r2,48,sum,5.4302454679130525
solve_cg,83,rtrans,5.4302454679130525
solve_cg,84,beta,7.646310025902278
daxpby,40,y,5.571396539547318
daxpby,40,y,6.851490917114441
daxpby,40,y,6.706381959974396
daxpby,40,y,7.822821033994539
daxpby,40,y,6.892205471516555
daxpby,40,y,7.146227022729861
daxpby,40,y,6.2310738175960285
daxpby,40,y,8.102889847551069
solve_cg,87,normr,6.56628756826869
matvec,25,Ap,5.007590788199062
matvec,25,Ap,5.00440760387882
matvec,25,Ap,5.09497381107777
matvec,25,Ap,4.85418787993918
matvec,25,Ap,5.033437935573079
matvec,25,Ap,4.651467237944581
matvec,25,Ap,5.135578476656899
matvec,25,Ap,4.031534240214021
matvec,25,Ap,5.84545156639888
matvec,25,Ap,5.543857318017971
matvec,25,Ap,6.1313992938138036
matvec,25,Ap,6.152461989256086
matvec,25,Ap,5.424213209438039
matvec,25,Ap,5.430878734690345
matvec,25,Ap,5.4307075240020914
matvec,25,Ap,5.513975014103204
matvec,25,Ap,5.779497505554999
matvec,25,Ap,6.696069110863754
matvec,25,Ap,5.1981067820766915
matvec,25,Ap,5.17164010821029
matvec,25,Ap,4.6604394199030015
matvec,25,Ap,5.233300186582963
matvec,25,Ap,5.243350425141374
matvec,25,Ap,5.050679237645465
matvec,25,Ap,5.393152005861346
matvec,25,Ap,4.988031295252308
matvec,25,Ap,5.468804765139054
matvec,25,Ap,5.327589240140385
matvec,25,Ap,4.759890881669494
matvec,25,Ap,5.554884989916548
matvec,25,Ap,5.42449317147933
matvec,25,Ap,4.076417297784683
matvec,25,Ap,5.416641817762547
matvec,25,Ap,5.957739420849919
matvec,25,Ap,5.552030338651316
matvec,25,Ap,5.025870596955468
matvec,25,Ap,4.207724039418315
matvec,25,Ap,4.981118316605328
matvec,25,Ap,5.101129071276311
matvec,25,Ap,5.212505071095381
matvec,25,Ap,5.408455937469683
matvec,25,Ap,5.683198341585882
matvec,25,Ap,4.590771955740312
matvec,25,Ap,5.560446333446417
matvec,25,Ap,5.4171235139545795
matvec,25,Ap,6.468541381867677
matvec,25,Ap,6.6831007505476805
matvec,25,Ap,6.679711281415695
matvec,25,Ap,5.929223806629241
matvec,25,Ap,6.726782070217525
matvec,25,Ap,3.3694610110297845
matvec,25,Ap,5.408440630130783
matvec,25,Ap,6.4758364825734445
matvec,25,Ap,4.386892398713711
matvec,25,Ap,4.8126295695524215
matvec,25,Ap,5.274207752119485
matvec,25,Ap,5.550578250836948
matvec,25,Ap,6.482019359422862
matvec,25,Ap,5.883299187580409
matvec,25,Ap,5.640231331436158
matvec,25,Ap,5.847280251747249
matvec,25,Ap,5.7728849589875635
matvec,25,Ap,3.0557070897489464
matvec,25,Ap,5.686176661486302
dot,57,sum,3.2118731169129506
dot,57,sum,4.2141432406723025
dot,57,sum,3.200408516187321
dot,57,sum,2.9998606831935564
dot,57,sum,3.461644509773106
dot,57,sum,3.60967726904455
dot,57,sum,3.5185601503036366
dot,57,sum,3.761145055901418
solve_cg,90,p_ap_dot,3.761145055901418
solve_cg,91,alpha,7.639149275921091
daxpby,40,y,7.519318680208276
daxpby,40,y,7.36584278991477
daxpby,40,y,6.998825565136742
daxpby,40,y,6.953026858764966
daxpby,40,y,7.5524908211893935
daxpby,40,y,7.568513853745044
daxpby,40,y,6.847559997332471
daxpby,40,y,7.213625248046005
daxpby,40,y,8.197346137130586
daxpby,40,y,7.8858642266598356
daxpby,40,y,7.940051273811084
daxpby,40,y,8.086231817731907
daxpby,40,y,7.920739569244253
daxpby,40,y,7.578241566563272
