File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,iter,bit,DI
37174,daxpby,40,y,-1.874722016468647,0.9375,3.477474097e-07,Masked,4,55,580
14681,matvec,25,Ap,3.0517578125e-05,5.578334995381184e-09,3.476984643e-07,Masked,1,26,229
18604,matvec,25,Ap,-1.0,0.0022866238719900884,0.0096590705839719,Masked,2,45,290
27890,matvec,25,Ap,32.0,-0.1895162482170064,0.0040492200666212,Masked,3,51,435
3501,readA,167,A,-0.5,0.007615195055606155,0.0009133825911819,Masked,0,46,54
11362,matvec,25,Ap,0.0625,2.228686286923841e-06,5.207785727e-07,Masked,1,35,177
11996,matvec,25,Ap,6.103515625e-05,3.3075870753996916e-08,3.478921949e-07,Masked,1,29,187
43153,matvec,25,Ap,2.3283064365386963e-10,2.1527833179428883e-11,3.477488179e-07,Masked,5,18,674
51699,daxpby,40,y,6.103515625e-05,0.37734458505295615,3.477474097e-07,Masked,6,52,807
28337,matvec,25,Ap,8.0,-0.10416386942747594,0.0049301694324249,Masked,3,50,442
30900,dot_r2,48,sum,-0.0440009063700634,0.5,0.0003910202955944,Masked,4,53,482
20657,matvec,25,Ap,16.0,-0.0729813673702311,0.0057892740694686,Masked,2,50,322
11947,matvec,25,Ap,-32.0,0.001091823648912276,0.0127112803300171,Masked,1,44,186
13557,matvec,25,Ap,-2384.50906953,0.75,0.0062954462383806,Masked,1,54,211
25586,matvec,25,Ap,-16.0,-0.1447017014583094,0.0065351987041075,Masked,3,51,399
3330,readA,167,A,-7.105427357601002e-15,5.056286395316618e-16,3.477474097e-07,Masked,0,3,52
18575,matvec,25,Ap,-1.862645149230957e-09,4.259168863278047e-12,3.477473508e-07,Masked,2,16,290
18486,matvec,25,Ap,-14279.147913533514,-15.0,41.482837954482456,SDC,2,55,288
7708,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,29,120
21169,matvec,25,Ap,2.0,0.07720967389591595,0.0128699173947846,Masked,2,50,330
11209,matvec,25,Ap,1.862645149230957e-09,7.856409088711247e-14,3.4774740799999994e-07,Masked,1,10,175
8340,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,21,130
30124,daxpby,40,y,-0.00390625,0.001976998415463848,3.477474097e-07,Masked,3,45,470
24466,daxpby,40,y,-2.3283064365386963e-10,-3.1769656282810556e-11,3.477470022e-07,Masked,3,19,382
36935,daxpby,40,y,-1.4210854715202004e-14,1.424143697278622e-14,3.477474097e-07,Masked,4,8,577
33863,matvec,25,Ap,4.547473508864641e-13,1.9435725041106223e-14,3.477474098e-07,Masked,4,8,529
1562,readA,167,A,-1.1920928955078125e-07,8.69094714105294e-09,3.476273195e-07,Masked,0,27,24
23707,daxpby,40,y,2.9802322387695312e-08,-1.8311988577745657e-08,3.477602261e-07,Masked,2,28,370
4464,readB,175,b,8.0,0.03546278491023039,0.0016223854152616,Masked,0,49,69
27091,matvec,25,Ap,7.450580596923828e-09,-7.228893995481451e-11,3.477462797e-07,Masked,3,20,423
21782,matvec,25,Ap,1.1920928955078125e-07,-4.960771362713943e-10,3.4774624899999997e-07,Masked,2,23,340
46534,matvec,25,Ap,-9.020562075079397e-16,-9.624538709812288e-15,3.477474097e-07,Masked,6,7,727
6638,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,47,103
19302,matvec,25,Ap,-0.0625,-3.38361329095956e-05,4.74349395145e-05,Masked,2,39,301
15408,dot,57,sum,2097152.0,0.061464726616083015,0.0528458297811174,Masked,1,49,240
2255,readA,167,A,-1.4551915228366852e-11,3.967140378583547e-12,3.477474152e-07,Masked,0,16,35
45675,daxpby,40,y,1.52587890625e-05,0.0016058939323471406,3.477474097e-07,Masked,6,44,713
38122,dot_r2,48,sum,3.0517578125e-05,0.0005559863712363543,4.6879008728e-06,Masked,5,43,595
29713,solve_cg,91,alpha,-4.546987786291368e-13,2.373711820100135e-11,3.477470732e-07,Masked,3,18,464
8675,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,36,135
21286,matvec,25,Ap,-0.0078125,-3.179762844854357e-05,9.165191875e-07,Masked,2,39,332
20422,matvec,25,Ap,-1.4551915228366852e-11,-7.631072999492279e-15,3.477474098e-07,Masked,2,7,319
9591,waxpby,33,r,57525.093,255.0,0.009940104848388,Masked,0,56,149
14341,matvec,25,Ap,5.820766091346741e-11,5.640865728919421e-15,3.477474095e-07,Masked,1,6,224
4116,readB,175,b,2.9802322387695312e-08,1.5050834214695698e-10,3.477497828e-07,Masked,0,21,64
16577,daxpby,40,y,-3.552713678800501e-15,-3.6135253126637733e-16,3.477474097e-07,Masked,1,2,259
10103,dot_r2,48,sum,64553169.0494442,255.0,1764446508.2781496,SDC,0,56,157
51633,daxpby,40,y,-3.0517578125e-05,0.08798872720334965,3.477474097e-07,Masked,6,50,806
45541,solve_cg,84,beta,-2.980232240005522e-08,1.5887165972672836e-05,3.477474097e-07,Masked,6,38,711
38411,solve_cg,83,rtrans,2.8407831642596193e-14,2.6520048743117397e-13,3.477474134e-07,Masked,5,12,600
34184,matvec,25,Ap,-1.1368683772161605e-13,-2.997530082420444e-14,3.477474097e-07,Masked,4,9,534
21038,matvec,25,Ap,8.0,0.015487176477556657,0.0057690988161419,Masked,2,47,328
46068,daxpby,40,y,0.0025568955870127,-0.5,3.477474097e-07,Masked,6,53,719
