File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,bit
284702,FFT1DOnce,872,tau_c,1.3431712924285026e+20,1.8446744073709552e+19,319.94696235180453,SDC,57
49196,FFT1DOnce,873,x_r,0.125,0.22064892658109253,0.125,SDC,49
324351,FFT1DOnce,878,x1,-6.557315254389,1.0,5.116e-13,Masked,61
523565,FFT1DOnce,877,x1,-101.12639101823696,0.9375,0.39502496491491,SDC,53
84731,FFT1DOnce,874,x_c,-0.0078125,-0.01417020312194435,8.53e-14,Masked,45
378895,TwiddleOneCol,709,tomega_r,-1.6608462072920193e+308,-inf,nan,DUE,61
30687,FFT1DOnce,868,omega_c,-6.879367030371697e+307,-inf,nan,DUE,61
532733,CopyColumn,820,dest,-0.7282405792740155,0.9375,0.7282405792739439,SDC,53
44078,FFT1DOnce,877,x1,8.064162193371247e+19,1.8446744073709552e+19,8.064162193371247e+19,SDC,57
92894,FFT1DOnce,868,omega_c,0.7071028851534585,-1.0,8.53e-14,Masked,57
6220,Transpose,803,dest,-0.03125,0.13008747564903414,0.0312499999999432,Masked,49
355163,Reverse,832,x,0.125,-0.014073571829332575,8.53e-14,Masked,45
123516,FFT1DOnce,874,x_c,0.125,0.14402737480393993,0.1250000000000568,SDC,49
82620,FFT1DOnce,874,x_c,-0.015625,0.1740143313571369,0.0156249999999432,Masked,49
531468,Transpose,803,dest,0.0625,0.22685290349910484,0.0625000000000568,SDC,49
396781,FFT1DOnce,869,x_r,0.8245290536674698,-0.9375,8.53e-14,Masked,53
156460,FFT1DOnce,873,x_r,0.5,-0.133265752982593,2.274e-13,Masked,49
140862,Transpose,804,dest,-0.5049406421846131,1.0,0.0,Masked,57
278223,FFT1DOnce,875,x2,-117.7622470277447,1.0,14.720280878468259,SDC,61
123167,FFT1DOnce,876,x2,4.506113567485853e+307,inf,nan,DUE,61
160078,FFT1DOnce,871,tau_r,0.36729601699175,-1.0,2.84e-14,Masked,57
437213,FFT1DOnce,868,omega_c,-0.6629138248682565,0.9375,5.68e-14,Masked,53
111675,TwiddleOneCol,715,tx,-0.015625,0.009128881205569858,5.68e-14,Masked,45
72654,TwiddleOneCol,711,tx_r,0.7307622371346254,-1.0,2.84e-14,Masked,57
46636,FFT1DOnce,869,x_r,0.25,0.22661973078461048,8.53e-14,Masked,49
332669,FFT1DOnce,870,x_c,0.5623370530096674,-0.9375,2.274e-13,Masked,53
436923,FFT1DOnce,874,x_c,-2.0,0.014393126991749826,0.0312499999999147,Masked,45
61131,FFT1DOnce,875,x2,-0.001953125,0.012913001874172504,5.68e-14,Masked,45
74142,FFT1DOnce,872,tau_c,-0.5357167412945785,1.0,0.5357167412945216,SDC,57
118251,FFT1DOnce,869,x_r,-0.015625,-0.010108617022802968,0.0,Masked,45
495182,FFT1DOnce,875,x2,4.641853188622644e+21,1.8446744073709552e+19,1.8132239018057204e+19,SDC,57
269758,Transpose,804,dest,1.439828509082844,-1.0,8.53e-14,Masked,57
371947,FFT1DOnce,877,x1,0.0625,0.010770303184996183,4.263e-13,Masked,45
340604,FFT1DOnce,874,x_c,-1.0,-0.22530157351987887,2.274e-13,Masked,49
32507,Reverse,833,x,-0.0078125,0.015254545690032921,0.0078124999999716,Masked,45
505963,FFT1DOnce,873,x_r,0.125,0.010200411533898916,8.53e-14,Masked,45
518831,FFT1DOnce,869,x_r,-12.995945890917003,1.0,0.0,Masked,61
37630,FFT1DOnce,870,x_c,-3.7147056603627586e+19,-1.8446744073709552e+19,2940.675310201448,SDC,57
86955,FFT1DOnce,869,x_r,-0.00390625,0.00928375990806265,2.84e-14,Masked,45
85631,FFT1DOnce,870,x_c,8.501130372592471e+307,inf,nan,DUE,61
227515,FFT1DOnce,874,x_c,0.00390625,0.014178043910487494,1.705e-13,Masked,45
388140,FFT1DOnce,869,x_r,-0.5,0.18842009889271708,3.126e-13,Masked,49
50604,FFT1DOnce,877,x1,0.5,0.21662155851311451,0.5000000000000568,SDC,49
415071,FFT1DOnce,876,x2,-39.67213700858362,1.0,1.137e-13,Masked,61
244812,FFT1DOnce,875,x2,0.25,0.22840974196746425,8.53e-14,Masked,49
344523,FFT1DOnce,867,omega_r,-0.00390625,0.010207591053070028,8.53e-14,Masked,45
466092,FFT1DOnce,877,x1,16.0,0.15851125220545592,0.0625000000000568,SDC,49
505052,FFT1DOnce,876,x2,1.0,0.16385489013124896,2.84e-14,Masked,49
512603,FFT1DOnce,872,tau_c,0.125,0.010850515217864735,8.53e-14,Masked,45
110510,FFT1DOnce,877,x1,1.0751460542824123,-1.0,8.53e-14,Masked,57
425534,Scale,726,x,-0.3983956580378347,1.0,0.3983956580377708,SDC,57
