File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,bit,DI
121169,Reverse,832,x,7.105427357601002e-15,8.88087198834028e-15,5.68e-14,Masked,5,7573
326410,FFT1DOnce,875,x2,0.00390625,-0.0009311733917349369,1.99e-13,Masked,41,20400
477135,FFT1DOnce,867,omega_r,-6.6032955972273626e+302,-inf,249.7685605400931,SDC,61,29820
224090,Reverse,832,x,-0.000244140625,-0.0005047972810338987,5.68e-14,Masked,41,14005
153574,FFT1DOnce,873,x_r,-1.8626450937198058e-09,-1.0186866278184917e-08,2.84e-14,Masked,25,9598
349678,FFT1DOnce,877,x1,-1.0875180575515895e+20,-1.8446744073709552e+19,445.6879790546387,SDC,57,21854
36722,FFT1DOnce,874,x_c,-4.547473508864641e-13,2.1802248110961594e-13,3.695e-13,Masked,9,2295
69645,FFT1DOnce,867,omega_r,-0.9375,0.9375,7.403231310572295,SDC,53,4352
323680,FFT1DOnce,873,x_r,-1.7763568394002505e-15,-6.067986663678623e-16,8.53e-14,Masked,1,20230
423088,FFT1DOnce,878,x1,5.684341886080802e-14,5.924261912368496e-16,8.53e-14,Masked,1,26443
372970,FFT1DOnce,869,x_r,0.00390625,0.0006884117891838306,3.979e-13,Masked,41,23310
456334,FFT1DOnce,875,x2,-3.3760479138398083e+20,-1.8446744073709552e+19,231.40586439389747,SDC,57,28520
278694,FFT1DOnce,869,x_r,1.4901161193847656e-08,-1.162029225819177e-08,8.53e-14,Masked,25,17418
114729,FFT1DOnce,877,x1,1.52587890625e-05,3.1367516157529315e-05,1.52587891478e-05,Masked,37,7170
441815,FFT1DOnce,872,tau_c,-3.814697265625e-06,2.0420819739233248e-07,8.53e-14,Masked,29,27613
348397,FFT1DOnce,869,x_r,-1.586894091352783,0.9375,2.84e-14,Masked,53,21774
229557,FFT1DOnce,870,x_c,-4.656612873077393e-10,4.657975298955158e-10,5.684e-13,Masked,21,14347
173047,FFT1DOnce,878,x1,2.384185791015625e-07,-1.5709060096177012e-07,1.421e-13,Masked,29,10815
88979,Reverse,832,x,-9.094947017729282e-13,2.2253403725674465e-12,8.527e-13,Masked,13,5561
500822,FFT1DOnce,872,tau_c,-2.384185791015625e-07,1.4334145452239645e-08,8.53e-14,Masked,25,31301
336476,FFT1DOnce,868,omega_c,-0.125,0.1352988706450145,8.53e-14,Masked,49,21029
